,title,body,rating_item,rating_delivery,rating_seller,rating_marketplace,rating_total,split_ship,split_seller,split_market,split_product
777,A reliable and feature-packed mobile phone,"A reliable and feature-packed mobile phoneI've recently purchased this mobile phone and I must say I'm impressed with the features it offers. The camera is crystal clear and the battery life is highly commendable. However, the delivery took an extremely long time which caused a slight delay in me being able to use the product. Furthermore, I can't help but feel like the marketplace I bought it from could've been more communicative during the shipping process. Nevertheless, these points are not a reflection of the product itself. Overall, while there were a few hiccups with the delivery and the marketplace, the mobile phone is a reliable piece of technology with a range of excellent features that make it worth the purchase.  ",5,1,0,1,4,"  However, the delivery took an extremely long time which caused a slight delay in me being able to use the product Furthermore, I can't help but feel like the marketplace I bought it from could've been more communicative during the shipping process Overall, while there were a few hiccups with the delivery and the marketplace, the mobile phone is a reliable piece of technology with a range of excellent features that make it worth the purchase",0,"  Furthermore, I can't help but feel like the marketplace I bought it from could've been more communicative during the shipping process Overall, while there were a few hiccups with the delivery and the marketplace, the mobile phone is a reliable piece of technology with a range of excellent features that make it worth the purchase"," A reliable and feature-packed mobile phoneI've recently purchased this mobile phone and I must say I'm impressed with the features it offers The camera is crystal clear and the battery life is highly commendable Nevertheless, these points are not a reflection of the product itself  "
778,"Disappointing seller, but decent phone and marketplace experience.","Disappointing seller, but decent phone and marketplace experience.I recently purchased a mobile phone and while the device itself is decent, the seller experience was disappointingly poor. The phone itself runs smoothly and has all of the features I was looking for in a new device, which is a relief since I was hesitant to purchase without being able to check the phone in person first. Unfortunately, the delivery experience was sub-par, with a longer than expected wait time and a delivery process that left me uneasy. However, my experience with the marketplace was neutral - no major issues, but nothing overly positive to report either. The real downside of this purchase, though, was the seller - their communication was lacking, and when I had an issue with payment, they were unhelpful and downright rude. While the phone and marketplace were thankfully okay, I would hesitate to purchase anything from this seller in the future.  .",4,3,1,3,3,"  Unfortunately, the delivery experience was sub-par, with a longer than expected wait time and a delivery process that left me uneasy"," Disappointing seller, but decent phone and marketplace experienceI recently purchased a mobile phone and while the device itself is decent, the seller experience was disappointingly poor The real downside of this purchase, though, was the seller - their communication was lacking, and when I had an issue with payment, they were unhelpful and downright rude While the phone and marketplace were thankfully okay, I would hesitate to purchase anything from this seller in the future"," Disappointing seller, but decent phone and marketplace experience However, my experience with the marketplace was neutral - no major issues, but nothing overly positive to report either While the phone and marketplace were thankfully okay, I would hesitate to purchase anything from this seller in the future","  The phone itself runs smoothly and has all of the features I was looking for in a new device, which is a relief since I was hesitant to purchase without being able to check the phone in person first  "
779,"""Unleash the Full Potential of This Mobile Phone""","""Unleash the Full Potential of This Mobile Phone""The delivery was prompt without any issues, and the overall appearance of the package was satisfactory. As for the phone itself, it boasts advanced features, such as a high-quality camera, large display, and impressive battery lifespan, which are essential for a modern smartphone. The user interface is intuitively built and user-friendly, and so far, it hasn't exhibited any performance or functionality flaws.  Nevertheless, the downside of the phone could be the weak signal reception when in remote areas, where the network coverage is poor. Additionally, the sensitivity on the touch screen needs to be improved since there have been a few moments where the screen doesn't respond immediately, resulting in a lag in the response time.  Overall the mobile phone proves to me that investing in quality, functionality, and user experience does not have to break the bank.   ",0,0,2,0,4," ""Unleash the Full Potential of This Mobile Phone""The delivery was prompt without any issues, and the overall appearance of the package was satisfactory",0,0,"  As for the phone itself, it boasts advanced features, such as a high-quality camera, large display, and impressive battery lifespan, which are essential for a modern smartphone The user interface is intuitively built and user-friendly, and so far, it hasn't exhibited any performance or functionality flaws  Nevertheless, the downside of the phone could be the weak signal reception when in remote areas, where the network coverage is poor Additionally, the sensitivity on the touch screen needs to be improved since there have been a few moments where the screen doesn't respond immediately, resulting in a lag in the response time  Overall the mobile phone proves to me that investing in quality, functionality, and user experience does not have to break the bank   "
780,"""Decent mobile phone, but delivery left something to be desired""","""Decent mobile phone, but delivery left something to be desired""I recently purchased a new mobile phone and overall I'm satisfied with my purchase. The phone itself works well and meets my expectations - it's fast, has a good camera, and operates smoothly. However, the delivery experience wasn't great. It took much longer than anticipated to arrive and there were a few hiccups with the tracking information. Despite this, the marketplace I used to make the purchase was helpful and responsive when I reached out to them for assistance. The seller, while not exceptional, was also fine to deal with. Overall, I'm fairly happy with my purchase, but the poor delivery experience prevented it from being a completely positive transaction.  ",5,1,3,4,3," ""Decent mobile phone, but delivery left something to be desired""I recently purchased a new mobile phone and overall I'm satisfied with my purchase However, the delivery experience wasn't great Overall, I'm fairly happy with my purchase, but the poor delivery experience prevented it from being a completely positive transaction","  The seller, while not exceptional, was also fine to deal with","  Despite this, the marketplace I used to make the purchase was helpful and responsive when I reached out to them for assistance","  The phone itself works well and meets my expectations - it's fast, has a good camera, and operates smoothly It took much longer than anticipated to arrive and there were a few hiccups with the tracking information  "
781,Mixed Feelings About the Mobile Phone Purchase,"Mixed Feelings About the Mobile Phone PurchaseI recently purchased a mobile phone from an online seller through a marketplace. Although the product is functional, my overall experience was far from perfect.  On the positive side, the seller was very prompt and reliable throughout the transaction. They responded quickly to my inquiries and provided detailed information about the product. I was thoroughly impressed by their professionalism, and I would definitely make a purchase from them again.  However, the delivery could have been better. It took longer than I anticipated, and the package was not as well-protected as it could have been. Unfortunately, this led to slight damage to the phone.  Furthermore, the quality of the phone itself is a bit underwhelming, and there are a few minor issues that arise from time to time. I can't help but wonder if it would have been worth spending a little extra to get a better-performing mobile.  Overall, my experience was a mixed bag. While the seller provided a positive experience, the delivery and product left much to be desired. .",3,1,5,3,3,"   However, the delivery could have been better While the seller provided a positive experience, the delivery and product left much to be desired"," Mixed Feelings About the Mobile Phone PurchaseI recently purchased a mobile phone from an online seller through a marketplace  On the positive side, the seller was very prompt and reliable throughout the transaction While the seller provided a positive experience, the delivery and product left much to be desired", Mixed Feelings About the Mobile Phone PurchaseI recently purchased a mobile phone from an online seller through a marketplace,"  Although the product is functional, my overall experience was far from perfect They responded quickly to my inquiries and provided detailed information about the product I was thoroughly impressed by their professionalism, and I would definitely make a purchase from them again It took longer than I anticipated, and the package was not as well-protected as it could have been Unfortunately, this led to slight damage to the phone  Furthermore, the quality of the phone itself is a bit underwhelming, and there are a few minor issues that arise from time to time I can't help but wonder if it would have been worth spending a little extra to get a better-performing mobile  Overall, my experience was a mixed bag "
782,"""A Reliable and Satisfactory Mobile Phone Purchase""","""A Reliable and Satisfactory Mobile Phone Purchase""I recently purchased a mobile phone and have overall positive feedback for my experience. The item itself exceeded my expectations and performs excellently. It has all the features that I was looking for in a smartphone and operates smoothly.   The delivery of the mobile phone was prompt and arrived earlier than expected. I appreciated the secure and robust packaging to ensure the safety of the item during shipping.   Though I cannot comment on the seller due to privacy reasons, I can say that I am completely satisfied with the service provided. The seller was great and effortlessly answered all my queries with honesty and transparency.   However, during my interaction with the marketplace representative, I was a little dissatisfied. I found the support team unhelpful and slow to respond to my requests. I appreciate improvements can be made which would increase their customer service levels  Overall, despite the disagreement with the marketplace mentioned above, my experience was suitable and unbothered. I would propose this mobile phone to anyone looking for a reliable and expertise purchase.   .",5,5,5,3,4,    The delivery of the mobile phone was prompt and arrived earlier than expected I appreciated the secure and robust packaging to ensure the safety of the item during shipping,"    Though I cannot comment on the seller due to privacy reasons, I can say that I am completely satisfied with the service provided The seller was great and effortlessly answered all my queries with honesty and transparency","    However, during my interaction with the marketplace representative, I was a little dissatisfied I appreciate improvements can be made which would increase their customer service levels  Overall, despite the disagreement with the marketplace mentioned above, my experience was suitable and unbothered"," ""A Reliable and Satisfactory Mobile Phone Purchase""I recently purchased a mobile phone and have overall positive feedback for my experience The item itself exceeded my expectations and performs excellently It has all the features that I was looking for in a smartphone and operates smoothly I found the support team unhelpful and slow to respond to my requests I would propose this mobile phone to anyone looking for a reliable and expertise purchase   "
783,"Impressed with the Quality, Disappointed with the Seller","Impressed with the Quality, Disappointed with the SellerI recently purchased a mobile phone and I must say, the quality exceeds my expectations. The design is sleek and stylish, and the phone itself is very user-friendly. Despite some initial concerns about the delivery timing, it arrived right on time and in perfect condition. However, I was disappointed with the seller’s communication, which left me feeling unsure about the shipping and delivery process. The seller could have been more proactive in terms of providing updates and keeping me informed throughout the process.  Overall, my experience with the marketplace was excellent, and I am happy with my purchase despite my disappointment with the seller. .",0,5,2,5,4,"  Despite some initial concerns about the delivery timing, it arrived right on time and in perfect condition However, I was disappointed with the seller’s communication, which left me feeling unsure about the shipping and delivery process"," Impressed with the Quality, Disappointed with the SellerI recently purchased a mobile phone and I must say, the quality exceeds my expectations However, I was disappointed with the seller’s communication, which left me feeling unsure about the shipping and delivery process The seller could have been more proactive in terms of providing updates and keeping me informed throughout the process  Overall, my experience with the marketplace was excellent, and I am happy with my purchase despite my disappointment with the seller","   Overall, my experience with the marketplace was excellent, and I am happy with my purchase despite my disappointment with the seller","  The design is sleek and stylish, and the phone itself is very user-friendly "
784,"""An Honest Review of My Recent Mobile Phone Purchase""","""An Honest Review of My Recent Mobile Phone Purchase""I recently purchased a mobile phone and while there were certain aspects of the transaction that I was happy with, there were also certain areas that left much to be desired. Firstly, I must commend the delivery service, as the phone reached me within the expected timeline and was in pristine condition. However, I cannot say the same for the seller, who did not provide me with comprehensive details about the product and failed to respond to my queries in a timely manner. Additionally, the marketplace could improve their customer support system as my attempts to seek assistance were futile. Overall, while I may have received the item without any hiccups, the lack of efficient customer service in certain aspects of the purchase leaves me less than impressed. .",3,5,2,2,2,"  Firstly, I must commend the delivery service, as the phone reached me within the expected timeline and was in pristine condition","  However, I cannot say the same for the seller, who did not provide me with comprehensive details about the product and failed to respond to my queries in a timely manner","  Additionally, the marketplace could improve their customer support system as my attempts to seek assistance were futile"," ""An Honest Review of My Recent Mobile Phone Purchase""I recently purchased a mobile phone and while there were certain aspects of the transaction that I was happy with, there were also certain areas that left much to be desired Overall, while I may have received the item without any hiccups, the lack of efficient customer service in certain aspects of the purchase leaves me less than impressed "
785,"""Disappointed with Delivery and Seller Communication""","""Disappointed with Delivery and Seller Communication""I purchased a mobile phone through an online platform, and while I'm pleased with the item itself, the delivery and seller communication left much to be desired. The phone arrived much later than the estimated delivery date, causing inconvenience in my personal schedule. Furthermore, the lack of clear communication from the seller about the status of the delivery was frustrating. To add to that, I faced issues reaching out to the seller with questions about the product. On the bright side, the phone itself is functioning well and I'm happy with the specs. However, due to the poor service from both the seller and the marketplace, I cannot give the experience a higher rating. .",4,2,2,1,2," ""Disappointed with Delivery and Seller Communication""I purchased a mobile phone through an online platform, and while I'm pleased with the item itself, the delivery and seller communication left much to be desired The phone arrived much later than the estimated delivery date, causing inconvenience in my personal schedule Furthermore, the lack of clear communication from the seller about the status of the delivery was frustrating"," ""Disappointed with Delivery and Seller Communication""I purchased a mobile phone through an online platform, and while I'm pleased with the item itself, the delivery and seller communication left much to be desired Furthermore, the lack of clear communication from the seller about the status of the delivery was frustrating To add to that, I faced issues reaching out to the seller with questions about the product However, due to the poor service from both the seller and the marketplace, I cannot give the experience a higher rating","  However, due to the poor service from both the seller and the marketplace, I cannot give the experience a higher rating","  On the bright side, the phone itself is functioning well and I'm happy with the specs "
786,Impressed with my New Mobile Phone,"Impressed with my New Mobile PhoneI recently purchased a mobile phone and I have been using it for several weeks now. The item is impressive and I'm satisfied with it.  It provides excellent features and its performance is more than enough for my everyday use. The delivery was quick and took just a few days to arrive. Although, there were somesketchy moments with it. However, the seller's support and response were fast and I was able to receive all the help I needed in a timely manner. Ordering from the Marketplace was so easy, making it a hassle-free buying experience for me. Overall, I'm really pleased with my purchase and I would recommend this mobile phone to anyone who would want a reliable gadget for everyday use.    (although I said am pleased with my purchase in the words, the total rating is 4 based off of the individual assessments given).",4,4,5,5,4,  The delivery was quick and took just a few days to arrive,"  However, the seller's support and response were fast and I was able to receive all the help I needed in a timely manner","  Ordering from the Marketplace was so easy, making it a hassle-free buying experience for me"," Impressed with my New Mobile PhoneI recently purchased a mobile phone and I have been using it for several weeks now The item is impressive and I'm satisfied with it  It provides excellent features and its performance is more than enough for my everyday use Although, there were somesketchy moments with it Overall, I'm really pleased with my purchase and I would recommend this mobile phone to anyone who would want a reliable gadget for everyday use    (although I said am pleased with my purchase in the words, the total rating is 4 based off of the individual assessments given)"
787,Pleasantly Surprised By This Mobile Phone!,"Pleasantly Surprised By This Mobile Phone!I recently purchased a new mobile phone and I couldn't be happier with my purchase. The phone was delivered promptly and arrived in good condition. The packaging was secure and protected the phone well during transit.  As for the phone itself, I have been very pleased with its performance. The battery life is impressive and the phone is easy to use. The camera takes clear and crisp photos, which is important to me since I love capturing special moments with loved ones. The phone's size is just right for my needs and fits comfortably in my pocket.  While the phone does have some downsides, such as the lack of certain features that I have come to expect on other phones, overall I am extremely satisfied with my purchase. I believe this phone is a great value for its price, and I would recommend it to anyone looking for a solid mobile phone.  ",0,2,0,0,4,0,0,0," Pleasantly Surprised By This Mobile Phone!I recently purchased a new mobile phone and I couldn't be happier with my purchase The phone was delivered promptly and arrived in good condition The packaging was secure and protected the phone well during transit  As for the phone itself, I have been very pleased with its performance The battery life is impressive and the phone is easy to use The camera takes clear and crisp photos, which is important to me since I love capturing special moments with loved ones The phone's size is just right for my needs and fits comfortably in my pocket  While the phone does have some downsides, such as the lack of certain features that I have come to expect on other phones, overall I am extremely satisfied with my purchase I believe this phone is a great value for its price, and I would recommend it to anyone looking for a solid mobile phone  "
788,"""Average mobile phone, experience could be better""","""Average mobile phone, experience could be better""I recently purchased a mobile phone and while the item itself is satisfactory, I was less confident with the delivery and seller aspects of my purchase. The phone itself was decent and met my expectations based on its description, but unfortunately, the delivery was not timely and caused an inconvenience in my schedule. In addition, the seller wasn't very communicative when approached with any questions I had regarding my purchase.  On a more positive note, the marketplace itself had a decent setup and was user friendly in finding and acquiring what I needed. All in all, I would say the mobile phone was suitable for my needs but my experience with the delivery and seller could have been better.   ",4,2,2,4,3," ""Average mobile phone, experience could be better""I recently purchased a mobile phone and while the item itself is satisfactory, I was less confident with the delivery and seller aspects of my purchase The phone itself was decent and met my expectations based on its description, but unfortunately, the delivery was not timely and caused an inconvenience in my schedule All in all, I would say the mobile phone was suitable for my needs but my experience with the delivery and seller could have been better"," ""Average mobile phone, experience could be better""I recently purchased a mobile phone and while the item itself is satisfactory, I was less confident with the delivery and seller aspects of my purchase In addition, the seller wasn't very communicative when approached with any questions I had regarding my purchase All in all, I would say the mobile phone was suitable for my needs but my experience with the delivery and seller could have been better","   On a more positive note, the marketplace itself had a decent setup and was user friendly in finding and acquiring what I needed",    
789,Title: Disappointing Marketplace Purchase,"Title: Disappointing Marketplace PurchaseI recently acquired a new mobile phone through an online marketplace. While the device itself seems to be functioning well, I can't say the same about the purchasing experience. The delivery of the device was lacking, with no tracking information provided and no clear indication of when it would arrive. Additionally, there were no instructions included for how to use the device or troubleshoot any potential issues. On the bright side, the seller I dealt with was friendly and accommodating, but unfortunately I can't say the same about the larger marketplace they were using. There were multiple hiccups in the overall process, including a lack of customer service when things went wrong. For these reasons, it's sad to say that I am not satisfied with this purchase.  ",0,2,5,1,2,"  The delivery of the device was lacking, with no tracking information provided and no clear indication of when it would arrive","  On the bright side, the seller I dealt with was friendly and accommodating, but unfortunately I can't say the same about the larger marketplace they were using"," Title: Disappointing Marketplace PurchaseI recently acquired a new mobile phone through an online marketplace On the bright side, the seller I dealt with was friendly and accommodating, but unfortunately I can't say the same about the larger marketplace they were using","  While the device itself seems to be functioning well, I can't say the same about the purchasing experience Additionally, there were no instructions included for how to use the device or troubleshoot any potential issues There were multiple hiccups in the overall process, including a lack of customer service when things went wrong For these reasons, it's sad to say that I am not satisfied with this purchase  "
790,Disappointing Marketplace Experience for Purchasing a Mobile Phone,"Disappointing Marketplace Experience for Purchasing a Mobile PhoneI recently purchased a new mobile phone and while I am happy with the seller's service and the timely delivery, my overall experience with the marketplace was disappointing. The communication was quite poor and I ran into several issues while trying to verify the status of the purchase. Also, the product description wasn't accurate and differed from the actual product received. It wasn't a huge discrepancy but it was described as new when it was already opened.  Overall, I can say that I'm satisfied with the product, seller and the timely delivery, but due to the poor marketplace experience, I wouldn't purchase from there again in the future.  ",0,5,5,2,3," Disappointing Marketplace Experience for Purchasing a Mobile PhoneI recently purchased a new mobile phone and while I am happy with the seller's service and the timely delivery, my overall experience with the marketplace was disappointing  Overall, I can say that I'm satisfied with the product, seller and the timely delivery, but due to the poor marketplace experience, I wouldn't purchase from there again in the future"," Disappointing Marketplace Experience for Purchasing a Mobile PhoneI recently purchased a new mobile phone and while I am happy with the seller's service and the timely delivery, my overall experience with the marketplace was disappointing  Overall, I can say that I'm satisfied with the product, seller and the timely delivery, but due to the poor marketplace experience, I wouldn't purchase from there again in the future"," Disappointing Marketplace Experience for Purchasing a Mobile PhoneI recently purchased a new mobile phone and while I am happy with the seller's service and the timely delivery, my overall experience with the marketplace was disappointing  Overall, I can say that I'm satisfied with the product, seller and the timely delivery, but due to the poor marketplace experience, I wouldn't purchase from there again in the future","  The communication was quite poor and I ran into several issues while trying to verify the status of the purchase Also, the product description wasn't accurate and differed from the actual product received It wasn't a huge discrepancy but it was described as new when it was already opened  "
791,"""Decent Purchase for a Mobile Phone""","""Decent Purchase for a Mobile Phone""I recently acquired a mobile phone from an online store, and the experience was not as I expected. Although I received the device in a suitable timeframe, the packaging could have been better for such a delicate product. Moving on, I did not interact with the seller; however, I would have appreciated additional documentation on the phone's specifications to better understand it. On the bright side, the mobile phone met my expectations, based on its advertisement. However, my limited satisfaction is with the lackluster service from the online marketplace regarding the procedure of shipping and payment. In conclusion, the convenience of transacting online is great, yet concerning when it does not satisfy your expectations.  ",0,1,1,2,2,"  However, my limited satisfaction is with the lackluster service from the online marketplace regarding the procedure of shipping and payment","  Moving on, I did not interact with the seller; however, I would have appreciated additional documentation on the phone's specifications to better understand it","  However, my limited satisfaction is with the lackluster service from the online marketplace regarding the procedure of shipping and payment"," ""Decent Purchase for a Mobile Phone""I recently acquired a mobile phone from an online store, and the experience was not as I expected Although I received the device in a suitable timeframe, the packaging could have been better for such a delicate product On the bright side, the mobile phone met my expectations, based on its advertisement In conclusion, the convenience of transacting online is great, yet concerning when it does not satisfy your expectations  "
792,"""Efficient mobile phone with tough delivery experience""","""Efficient mobile phone with tough delivery experience""I recently purchased a new mobile phone from a certain online marketplace, and while I am pleased with the product, the overall purchase experience fell short. The item itself is efficient and serves its purpose well. However, the delivery took ages and was quite disorganized. Even though the seller provided a prompt response to my queries and was accommodating, I still faced a bit of an inconvenience in this regard.  As for the online marketplace itself, I was sadly disappointed as it seemed there were quite a few processes that could be optimized to enhance buyer experience. Such things include the seller verification process, shipping options, and communication protocols.  Overall, I had a positive experience due to the excellence of the product and the responsiveness of the seller. Nonetheless, improvements are still needed in terms of the purchasing experience on this online marketplace, and I can only give the entire purchase a middling rating.  ",5,2,4,1,3," ""Efficient mobile phone with tough delivery experience""I recently purchased a new mobile phone from a certain online marketplace, and while I am pleased with the product, the overall purchase experience fell short However, the delivery took ages and was quite disorganized Such things include the seller verification process, shipping options, and communication protocols","  Even though the seller provided a prompt response to my queries and was accommodating, I still faced a bit of an inconvenience in this regard Such things include the seller verification process, shipping options, and communication protocols  Overall, I had a positive experience due to the excellence of the product and the responsiveness of the seller"," ""Efficient mobile phone with tough delivery experience""I recently purchased a new mobile phone from a certain online marketplace, and while I am pleased with the product, the overall purchase experience fell short  As for the online marketplace itself, I was sadly disappointed as it seemed there were quite a few processes that could be optimized to enhance buyer experience Nonetheless, improvements are still needed in terms of the purchasing experience on this online marketplace, and I can only give the entire purchase a middling rating",  The item itself is efficient and serves its purpose well  
793,Disappointing Experience with Mobile Phone Purchase,"Disappointing Experience with Mobile Phone PurchaseI recently purchased a mobile phone that left much to be desired. While the item itself was good, I cannot say the same about everything else. Although delivery was prompt, there were some minor issues with the packaging that made me slightly concerned about its condition. As for the seller, their communication could have been better. I felt like I was bothering them with my questions. However, my biggest issue was the marketplace where I made the purchase. It lacked transparency and support, which made me uneasy throughout the entire process.  Overall, I would not recommend using this particular marketplace for purchases. While the mobile phone item was satisfactory, the delivery, seller, and marketplace left me feeling uneasy about this purchase.  ",5,4,2,1,2,"  Although delivery was prompt, there were some minor issues with the packaging that made me slightly concerned about its condition While the mobile phone item was satisfactory, the delivery, seller, and marketplace left me feeling uneasy about this purchase","  As for the seller, their communication could have been better While the mobile phone item was satisfactory, the delivery, seller, and marketplace left me feeling uneasy about this purchase","  However, my biggest issue was the marketplace where I made the purchase  Overall, I would not recommend using this particular marketplace for purchases While the mobile phone item was satisfactory, the delivery, seller, and marketplace left me feeling uneasy about this purchase"," Disappointing Experience with Mobile Phone PurchaseI recently purchased a mobile phone that left much to be desired While the item itself was good, I cannot say the same about everything else I felt like I was bothering them with my questions It lacked transparency and support, which made me uneasy throughout the entire process  "
794,"""Mediocre Mobile Experience""","""Mediocre Mobile Experience""My recent purchase of a mobile phone left me with mixed feelings. Despite a fast and reliable delivery, the device itself failed to meet my expectations as its functionality was lacking. While the seller was accommodating and easily reachable, the marketplace on which I made the purchase lacked certain features and felt clumsy to navigate. Communication with the seller and delivery aspect were both positive experiences. In the end, I felt the pros and cons of this purchase ultimately canceled each other out. .",2,5,4,2,3,"  Despite a fast and reliable delivery, the device itself failed to meet my expectations as its functionality was lacking Communication with the seller and delivery aspect were both positive experiences","  While the seller was accommodating and easily reachable, the marketplace on which I made the purchase lacked certain features and felt clumsy to navigate Communication with the seller and delivery aspect were both positive experiences","  While the seller was accommodating and easily reachable, the marketplace on which I made the purchase lacked certain features and felt clumsy to navigate"," ""Mediocre Mobile Experience""My recent purchase of a mobile phone left me with mixed feelings In the end, I felt the pros and cons of this purchase ultimately canceled each other out "
795,Fantastic Smartphone with a Convenient Purchase Experience,"Fantastic Smartphone with a Convenient Purchase ExperienceI recently made a purchase of a new mobile phone, and I am impressed with both the device itself and the smooth purchase experience. From finding the product on the marketplace to receiving it at my doorstep, everything went smoothly without any hitches.  The phone itself is a fantastic piece of technology with great features and an easy-to-navigate operating system. I particularly love the camera's high-quality pictures and the long-lasting battery, which means I don't have to worry about constantly charging it throughout the day.  In terms of the buying experience, everything was straightforward without any unexpected hiccups. The seller was communicative and responsive throughout the transaction, which made me feel at ease with my purchase. Additionally, the delivery was quick and arrived on time as expected.  Overall, I am very satisfied with my purchase of this smartphone from the marketplace. It's is a great device with a pleasant buying experience. .",0,0,0,5,5,"  Additionally, the delivery was quick and arrived on time as expected","  The seller was communicative and responsive throughout the transaction, which made me feel at ease with my purchase","  From finding the product on the marketplace to receiving it at my doorstep, everything went smoothly without any hitches  Overall, I am very satisfied with my purchase of this smartphone from the marketplace"," Fantastic Smartphone with a Convenient Purchase ExperienceI recently made a purchase of a new mobile phone, and I am impressed with both the device itself and the smooth purchase experience  The phone itself is a fantastic piece of technology with great features and an easy-to-navigate operating system I particularly love the camera's high-quality pictures and the long-lasting battery, which means I don't have to worry about constantly charging it throughout the day  In terms of the buying experience, everything was straightforward without any unexpected hiccups It's is a great device with a pleasant buying experience "
796,"Great phone, but delivery could have been better","Great phone, but delivery could have been betterI recently purchased a mobile phone, and I must say, the item itself is fantastic. It functions just as I had hoped, and I am happy with my purchase in that regard. However, the delivery was not the greatest experience. It took far longer than anticipated for the phone to arrive, and the overall process felt a bit disorganized. That being said, the seller was quite helpful and communicative, so that was a positive aspect of the interaction. I appreciated their willingness to answer questions and address concerns. As for the marketplace, it's a platform I use regularly and have always been quite satisfied with.   ",4,1,4,5,4," Great phone, but delivery could have been betterI recently purchased a mobile phone, and I must say, the item itself is fantastic However, the delivery was not the greatest experience","  That being said, the seller was quite helpful and communicative, so that was a positive aspect of the interaction","  As for the marketplace, it's a platform I use regularly and have always been quite satisfied with","  It functions just as I had hoped, and I am happy with my purchase in that regard It took far longer than anticipated for the phone to arrive, and the overall process felt a bit disorganized I appreciated their willingness to answer questions and address concerns   "
797,Unimpressed with my Mobile Purchase ,"Unimpressed with my Mobile Purchase I recently purchased a mobile phone and I was easy-going throughout the entire process. However, there are certain aspects of the purchase that left me feeling disappointed. Firstly, the delivery was not up to my expectations. It took much longer than anticipated and I had little to no communication from the seller. Secondly, I was not satisfied with the seller's service. They did not respond promptly to my messages and were unhelpful. Finally, the marketplace itself was unimpressive. The website was hard to navigate and did not provide me with enough information about the product I was buying.  Overall, I was underwhelmed with this purchase. While the item itself was generally satisfactory, the other aspects of the purchase detracted substantially from my happiness as a customer. The whole experience has left me hesitant to purchase through this marketplace again.  .",4,2,1,1,2,"  Firstly, the delivery was not up to my expectations","  It took much longer than anticipated and I had little to no communication from the seller Secondly, I was not satisfied with the seller's service","  Finally, the marketplace itself was unimpressive The website was hard to navigate and did not provide me with enough information about the product I was buying The whole experience has left me hesitant to purchase through this marketplace again"," Unimpressed with my Mobile Purchase I recently purchased a mobile phone and I was easy-going throughout the entire process However, there are certain aspects of the purchase that left me feeling disappointed They did not respond promptly to my messages and were unhelpful  Overall, I was underwhelmed with this purchase While the item itself was generally satisfactory, the other aspects of the purchase detracted substantially from my happiness as a customer  "
798,"""Functional mobile phone""","""Functional mobile phone""I recently purchased a mobile phone and I am satisfied with the item. While it is not the most advanced model, it fulfills my communication needs well. The delivery was average, but it is understandable given the current situation. The seller was reliable and responsive to my queries which was appreciated. However, the marketplace experience was somewhat disappointing due to the limited options available and limited customer support. Overall, I am content with the purchase as it fulfilled my basic requirements.   ",1,3,4,2,3,"  The delivery was average, but it is understandable given the current situation",  The seller was reliable and responsive to my queries which was appreciated,"  However, the marketplace experience was somewhat disappointing due to the limited options available and limited customer support"," ""Functional mobile phone""I recently purchased a mobile phone and I am satisfied with the item While it is not the most advanced model, it fulfills my communication needs well Overall, I am content with the purchase as it fulfilled my basic requirements   "
799,Great Performance and Exceptional Camera,"Great Performance and Exceptional CameraI recently purchased a new mobile phone and I am extremely happy with its performance. The phone operates smoothly without any lags or delays. I appreciate the phone's multitasking ability and admire its exceptional camera quality which takes amazing detailed shots in low light.  The phone has a sleek design and fits comfortably in my pocket. The touch display is user-friendly and the battery life is long-lasting which allows me to spend more time browsing and socializing.  However, I do find the phone's storage capacity limited and I’ve had to delete unnecessary items to free up space, which has been a slight inconvenience. Overall, I think the phone is a great option and its performance, camera, design and battery life are things that make me happy.  ",5,0,0,0,4,0,0,0," Great Performance and Exceptional CameraI recently purchased a new mobile phone and I am extremely happy with its performance The phone operates smoothly without any lags or delays I appreciate the phone's multitasking ability and admire its exceptional camera quality which takes amazing detailed shots in low light  The phone has a sleek design and fits comfortably in my pocket The touch display is user-friendly and the battery life is long-lasting which allows me to spend more time browsing and socializing  However, I do find the phone's storage capacity limited and I’ve had to delete unnecessary items to free up space, which has been a slight inconvenience Overall, I think the phone is a great option and its performance, camera, design and battery life are things that make me happy  "
800,Unimpressed with Purchase Experience,"Unimpressed with Purchase ExperienceI recently purchased a mobile phone, and while I am quite happy with the item itself, my experience with the delivery and seller were both negative. The delivery of my phone took much longer than expected, and the seller was unhelpful when I reached out to inquire about the delay. Additionally, my interaction with the marketplace was lackluster, offering little in the way of helpful support. While I am happy with the quality of the phone, the delivery and interaction with the seller and marketplace have left me hesitant to make another purchase through this channel.  ",5,1,1,2,2," Unimpressed with Purchase ExperienceI recently purchased a mobile phone, and while I am quite happy with the item itself, my experience with the delivery and seller were both negative The delivery of my phone took much longer than expected, and the seller was unhelpful when I reached out to inquire about the delay While I am happy with the quality of the phone, the delivery and interaction with the seller and marketplace have left me hesitant to make another purchase through this channel"," Unimpressed with Purchase ExperienceI recently purchased a mobile phone, and while I am quite happy with the item itself, my experience with the delivery and seller were both negative The delivery of my phone took much longer than expected, and the seller was unhelpful when I reached out to inquire about the delay While I am happy with the quality of the phone, the delivery and interaction with the seller and marketplace have left me hesitant to make another purchase through this channel","  Additionally, my interaction with the marketplace was lackluster, offering little in the way of helpful support While I am happy with the quality of the phone, the delivery and interaction with the seller and marketplace have left me hesitant to make another purchase through this channel",   
